date,symbol,open,high,low,close,volume
2024-12-31 00:00:00+00:00,BTC,42.45,42.64,41.27,41.87,1141901.0
2024-12-30 00:00:00+00:00,BTC,41.16,42.05,40.43,41.75,1167100.0
2024-12-27 00:00:00+00:00,BTC,42.68,42.7,41.31,41.82,1392400.0
2024-12-26 00:00:00+00:00,BTC,42.43,42.81,42.15,42.33,1009000.0
2024-12-24 00:00:00+00:00,BTC,42.91,43.93,42.77,43.85,972318.0
2024-12-23 00:00:00+00:00,BTC,42.28,42.35,40.92,41.21,1931700.0
2024-12-20 00:00:00+00:00,BTC,42.18,43.35,42.03,42.71,1424800.0
2024-12-19 00:00:00+00:00,BTC,45.37,45.569,42.31,42.67,2187800.0
2024-12-18 00:00:00+00:00,BTC,46.4,46.54,44.29,44.6,4040800.0
2024-12-17 00:00:00+00:00,BTC,47.79,48.07,46.87,47.3,2830339.0
2024-12-16 00:00:00+00:00,BTC,46.28,47.86,46.25,46.94,2026800.0
2024-12-13 00:00:00+00:00,BTC,44.56,45.249,44.23,45.11,993600.0
2024-12-12 00:00:00+00:00,BTC,45.0,45.5,44.005,44.34,1269700.0
2024-12-11 00:00:00+00:00,BTC,43.78,45.15,43.68,44.94,1709100.0
2024-12-10 00:00:00+00:00,BTC,43.49,43.62,41.8,42.75,1017200.0
2024-12-09 00:00:00+00:00,BTC,43.96,44.5651,42.6,42.63,1331886.0
2024-12-06 00:00:00+00:00,BTC,44.1,45.33,43.77,45.1,1518000.0
2024-12-05 00:00:00+00:00,BTC,45.62,46.05,43.415,43.94,2153000.0
2024-12-04 00:00:00+00:00,BTC,42.54,44.05,41.96,43.94,986480.0
2024-12-03 00:00:00+00:00,BTC,41.79,42.7499,41.5089,42.42,655922.0
2024-12-02 00:00:00+00:00,BTC,42.56,43.25,41.87,42.46,1126856.0
2024-11-29 00:00:00+00:00,BTC,43.22,43.9,43.06,43.09,927600.0
2024-11-27 00:00:00+00:00,BTC,41.93,43.22,41.8,42.93,1417620.0
2024-11-26 00:00:00+00:00,BTC,40.87,42.03,40.2,40.32,1695300.0
2024-11-25 00:00:00+00:00,BTC,43.17,43.22,41.841,42.16,2146200.0
2024-11-22 00:00:00+00:00,BTC,43.34,44.29,43.12,44.05,2315900.0
2024-11-21 00:00:00+00:00,BTC,43.2,43.98,42.4,43.6,2662800.0
2024-11-20 00:00:00+00:00,BTC,41.97,42.14,41.37,41.84,1353200.0
2024-11-19 00:00:00+00:00,BTC,8.13,8.35,8.09,8.22,18122594.0
2024-11-18 00:00:00+00:00,BTC,8.03,8.2202,7.955,8.13,18949711.0
2024-11-15 00:00:00+00:00,BTC,7.93,8.13,7.78,8.12,21904000.0
2024-11-14 00:00:00+00:00,BTC,8.11,8.15,7.75,7.77,24355300.0
2024-11-13 00:00:00+00:00,BTC,7.99,8.3,7.92,7.97,27717100.0
2024-11-12 00:00:00+00:00,BTC,7.64,7.99,7.56,7.96,31115600.0
2024-11-11 00:00:00+00:00,BTC,7.27,7.77,7.24,7.73,30086700.0
2024-11-08 00:00:00+00:00,BTC,6.77,6.87,6.71,6.8,13020600.0
2024-11-07 00:00:00+00:00,BTC,6.65,6.83,6.6101,6.8,13398086.0
2024-11-06 00:00:00+00:00,BTC,6.59,6.7899,6.5201,6.76,13749421.0
2024-11-05 00:00:00+00:00,BTC,6.15,6.2559,6.095,6.16,10343366.0
2024-11-04 00:00:00+00:00,BTC,6.08,6.0995,5.955,5.97,11490627.0
2024-11-01 00:00:00+00:00,BTC,6.23,6.352,6.092,6.14,12227000.0
2024-10-31 00:00:00+00:00,BTC,6.39,6.39,6.19,6.21,14117873.0
2024-10-30 00:00:00+00:00,BTC,6.37,6.43,6.3316,6.37,8279102.0
2024-10-29 00:00:00+00:00,BTC,6.32,6.539,6.29,6.44,14285700.0
2024-10-28 00:00:00+00:00,BTC,6.12,6.2,6.068,6.17,14144800.0
2024-10-25 00:00:00+00:00,BTC,6.03,6.11,5.84,5.92,12799300.0
2024-10-24 00:00:00+00:00,BTC,6.0,6.06,5.964,6.06,5753822.0
2024-10-23 00:00:00+00:00,BTC,5.9,5.93,5.774,5.88,5813800.0
2024-10-22 00:00:00+00:00,BTC,5.95,6.0,5.9,5.98,6060049.0
2024-10-21 00:00:00+00:00,BTC,6.02,6.03,5.92,6.01,9498700.0
2024-10-18 00:00:00+00:00,BTC,6.01,6.13,6.005,6.08,6914700.0
2024-10-17 00:00:00+00:00,BTC,5.95,6.008,5.91,5.92,8563200.0
2024-10-16 00:00:00+00:00,BTC,6.02,6.0699,5.955,6.01,8184173.0
2024-10-15 00:00:00+00:00,BTC,5.85,6.036,5.75,5.94,12641100.0
2024-10-14 00:00:00+00:00,BTC,5.75,5.89,5.73,5.85,10119600.0
2024-10-11 00:00:00+00:00,BTC,5.45,5.63,5.44,5.61,6385100.0
2024-10-10 00:00:00+00:00,BTC,5.41,5.41,5.22,5.29,6211530.0
2024-10-09 00:00:00+00:00,BTC,5.49,5.53,5.385,5.4,5853420.0
2024-10-08 00:00:00+00:00,BTC,5.56,5.6053,5.4801,5.52,5991141.0
2024-10-07 00:00:00+00:00,BTC,5.6,5.72,5.5649,5.62,5069990.0
2024-10-04 00:00:00+00:00,BTC,5.46,5.55,5.39,5.54,4910700.0
2024-10-03 00:00:00+00:00,BTC,5.36,5.42,5.31,5.41,4977845.0
2024-10-02 00:00:00+00:00,BTC,5.4,5.53,5.32,5.34,8688848.0
2024-10-01 00:00:00+00:00,BTC,5.62,5.63,5.41,5.48,7665800.0
2024-09-30 00:00:00+00:00,BTC,5.68,5.69,5.58,5.63,5918000.0
2024-09-27 00:00:00+00:00,BTC,5.82,5.91,5.8,5.82,5663600.0
2024-09-26 00:00:00+00:00,BTC,5.71,5.845,5.69,5.74,7504000.0
2024-09-25 00:00:00+00:00,BTC,5.63,5.68,5.58,5.6,4238900.0
2024-09-24 00:00:00+00:00,BTC,5.62,5.71,5.56,5.71,5742300.0
2024-09-23 00:00:00+00:00,BTC,5.61,5.66,5.592,5.61,5206800.0
2024-09-20 00:00:00+00:00,BTC,5.59,5.638,5.53,5.58,10696600.0
2024-09-19 00:00:00+00:00,BTC,5.61,5.67,5.56,5.61,6627700.0
2024-09-18 00:00:00+00:00,BTC,5.32,5.4477,5.245,5.33,6793772.0
2024-09-17 00:00:00+00:00,BTC,5.25,5.445,5.22,5.32,6191600.0
2024-09-16 00:00:00+00:00,BTC,5.2,5.2,5.1,5.14,6044517.0
2024-09-13 00:00:00+00:00,BTC,5.12,5.33,5.11,5.3,7049200.0
2024-09-12 00:00:00+00:00,BTC,5.11,5.195,5.081,5.17,5011983.0
2024-09-11 00:00:00+00:00,BTC,5.05,5.15,4.922,5.11,7518900.0
2024-09-10 00:00:00+00:00,BTC,5.05,5.15,5.01,5.14,6127722.0
2024-09-09 00:00:00+00:00,BTC,4.91,5.075,4.855,5.07,7262300.0
2024-09-06 00:00:00+00:00,BTC,5.02,5.04,4.72,4.75,10011500.0
2024-09-05 00:00:00+00:00,BTC,5.02,5.08,4.94,4.97,10231804.0
2024-09-04 00:00:00+00:00,BTC,5.01,5.19,4.9737,5.15,6027398.0
2024-09-03 00:00:00+00:00,BTC,5.24,5.245,5.1,5.15,5382821.0
2024-08-30 00:00:00+00:00,BTC,5.28,5.3056,5.12,5.2,8276992.0
2024-08-29 00:00:00+00:00,BTC,5.34,5.428,5.224,5.25,7080100.0
2024-08-28 00:00:00+00:00,BTC,5.32,5.325,5.13,5.23,12694300.0
2024-08-27 00:00:00+00:00,BTC,5.53,5.55,5.45,5.51,6919900.0
2024-08-26 00:00:00+00:00,BTC,5.67,5.67,5.59,5.61,6203300.0
2024-08-23 00:00:00+00:00,BTC,5.43,5.67,5.395,5.65,12376700.0
2024-08-22 00:00:00+00:00,BTC,5.4,5.4059,5.33,5.34,5287222.0
2024-08-21 00:00:00+00:00,BTC,5.27,5.47,5.2237,5.47,7692724.0
2024-08-20 00:00:00+00:00,BTC,5.37,5.41,5.195,5.28,4225084.0
2024-08-19 00:00:00+00:00,BTC,5.22,5.2601,5.15,5.24,3096885.0
2024-08-16 00:00:00+00:00,BTC,5.2,5.32,5.12,5.29,4314500.0
2024-08-15 00:00:00+00:00,BTC,5.25,5.31,5.03,5.07,6232207.0
2024-08-14 00:00:00+00:00,BTC,5.39,5.4099,5.2061,5.22,4988048.0
2024-08-13 00:00:00+00:00,BTC,5.23,5.465,5.22,5.41,5328964.0
2024-08-12 00:00:00+00:00,BTC,5.29,5.3801,5.13,5.24,3714699.0
2024-08-09 00:00:00+00:00,BTC,5.37,5.425,5.288,5.38,6635900.0
2024-08-08 00:00:00+00:00,BTC,5.13,5.315,5.04,5.27,4866500.0
2024-08-07 00:00:00+00:00,BTC,5.09,5.1099,4.85,4.86,6323564.0
2024-08-06 00:00:00+00:00,BTC,4.9,5.07,4.83,5.05,8390686.0
2024-08-05 00:00:00+00:00,BTC,4.41,4.93,4.4,4.75,15578704.0
2024-08-02 00:00:00+00:00,BTC,5.75,5.81,5.53,5.56,12022200.0
2024-08-01 00:00:00+00:00,BTC,5.73,5.76,5.52,5.62,42816500.0
2024-07-31 00:00:00+00:00,BTC,5.9,5.93,5.76,5.79,4598300.0
2024-07-30 00:00:00+00:00,BTC,99.1568,99.1568,,,2968.0
2024-07-29 00:00:00+00:00,BTC,93.085,93.1607,93.085,93.1,1655.0
2024-07-26 00:00:00+00:00,BTC,92.985,93.0567,92.985,93.0567,358.0
2024-07-25 00:00:00+00:00,BTC,92.935,92.935,92.7848,92.7848,396.0
2024-07-24 00:00:00+00:00,BTC,92.85,92.85,92.7378,92.7378,358.0
2024-07-23 00:00:00+00:00,BTC,92.8479,92.8479,92.7918,92.7918,297.0
2024-07-22 00:00:00+00:00,BTC,92.8779,92.8779,92.732,92.732,337.0
2024-07-19 00:00:00+00:00,BTC,92.8036,92.8036,92.8036,92.8036,27.0
2024-07-18 00:00:00+00:00,BTC,93.0459,93.09,92.9387,92.9387,489.0
2024-07-17 00:00:00+00:00,BTC,93.019,93.019,93.019,93.019,2.0
2024-07-16 00:00:00+00:00,BTC,93.005,93.05,93.005,93.01,424.0
2024-07-12 00:00:00+00:00,BTC,92.9503,92.9503,92.9503,92.9503,51.0
2024-07-11 00:00:00+00:00,BTC,92.8786,92.8786,92.807,92.807,383.0
2024-07-10 00:00:00+00:00,BTC,92.42,92.42,92.39,92.39,1206.0
2024-07-09 00:00:00+00:00,BTC,92.3833,92.3833,92.3833,92.3833,100.0
2024-07-08 00:00:00+00:00,BTC,92.391,92.4548,92.391,92.4548,170.0
2024-07-05 00:00:00+00:00,BTC,92.4542,92.4542,92.4542,92.4542,14.0
2024-07-03 00:00:00+00:00,BTC,92.1419,92.1419,92.1419,92.1419,28.0
2024-07-02 00:00:00+00:00,BTC,91.82,91.8701,91.82,91.8701,564.0
2024-07-01 00:00:00+00:00,BTC,91.6785,91.6785,91.6785,91.6785,34.0
2024-06-28 00:00:00+00:00,BTC,92.33,92.33,91.98,91.9985,919.0
2024-06-27 00:00:00+00:00,BTC,92.1156,92.1156,92.1156,92.1156,97.0
2024-06-26 00:00:00+00:00,BTC,92.2025,92.22,92.1582,92.1608,1302.0
